HS2017,SITC2
010121,0015
010129,0015
010130,0015
010190,0015
010221,00111
010229,00119
010231,00111
010239,00119
010290,00119
010310,0013
010391,0013
010392,0013
010410,00121
010420,00122
010511,00141
010512,00141
010513,00141
010514,00141
010515,00141
010594,00149
010599,00149
010611,9410
010612,9410
010613,9410
010614,9410
010619,9410
010620,9410
010631,9410
010632,9410
010633,9410
010639,9410
010641,9410
010649,9410
010690,9410
020110,01111
020120,01111
020130,01112
020210,01111
020220,01111
020230,01112
020311,0113
020312,0113
020319,0113
020321,0113
020322,0113
020329,0113
020410,0112
020421,0112
020422,0112
020423,0112
020430,0112
020441,0112
020442,0112
020443,0112
020450,0112
020500,0115
020610,0116
020621,0116
020622,0116
020629,0116
020630,0116
020641,0116
020649,0116
020680,0116
020690,0116
020711,0114
020712,0114
020713,0114
020714,0114
020724,0114
020725,0114
020726,0114
020727,0114
020741,0114
020742,0114
020743,01181
020744,0114
020745,0114
020751,0114
020752,0114
020753,01181
020754,0114
020755,0114
020760,0114
020810,01189
020830,01189
020840,01189
020850,01189
020860,01189
020890,01189
020910,41131
020990,41131
021011,0121
021012,0121
021019,0121
021020,0129
021091,0149
021092,0149
021093,0149
021099,0149
030111,0341
030119,0341
030191,0341
030192,0341
030193,0341
030194,0341
030195,0341
030199,0341
030211,0341
030213,0341
030214,0341
030219,0341
030221,0341
030222,0341
030223,0341
030224,0341
030229,0341
030231,0341
030232,0341
030233,0341
030234,0341
030235,0341
030236,0341
030239,0341
030241,0341
030242,0341
030243,0341
030244,0341
030245,0341
030246,0341
030247,0341
030249,0341
030251,0341
030252,0341
030253,0341
030254,0341
030255,0341
030256,0341
030259,0341
030271,0341
030272,0341
030273,0341
030274,0341
030279,0341
030281,0341
030282,0341
030283,0341
030284,0341
030285,0341
030289,0341
030291,0341
030292,0341
030299,0341
030311,0342
030312,0342
030313,0342
030314,0342
030319,0342
030323,0342
030324,0342
030325,0342
030326,0342
030329,0342
030331,0341
030332,0341
030333,0341
030334,0341
030339,0341
030341,0342
030342,0342
030343,0342
030344,0342
030345,0342
030346,0342
030349,0342
030351,0342
030353,0342
030354,0342
030355,0342
030356,0342
030357,0342
030359,0342
030363,0342
030364,0342
030365,0342
030366,0342
030367,0342
030368,0342
030369,0342
030381,0342
030382,0342
030383,0342
030384,0342
030389,0342
030391,0342
030392,0342
030399,034
030431,0341
030432,0341
030433,0341
030439,0341
030441,0341
030442,0341
030443,0341
030444,0341
030445,0341
030446,0341
030447,0341
030448,0341
030449,0341
030451,0341
030452,0341
030453,0341
030454,0341
030455,0341
030456,0341
030457,0341
030459,0341
030461,0344
030462,0344
030463,0344
030469,0344
030471,0344
030472,0344
030473,0344
030474,0344
030475,0344
030479,0344
030481,0344
030482,0344
030483,0344
030484,0344
030485,0344
030486,0344
030487,0344
030488,0344
030489,0344
030491,0342
030492,0342
030493,0342
030494,0342
030495,0342
030496,0342
030497,0342
030499,0342
030510,03501
030520,0350
030531,03503
030532,03503
030539,03503
030541,03504
030542,03504
030543,03504
030544,03504
030549,03504
030551,03502
030552,03503
030553,03503
030554,03503
030559,03503
030561,03503
030562,03503
030563,03503
030564,03503
030569,03503
030571,0350
030572,0350
030579,0350
030611,0360
030612,0360
030614,0360
030615,0360
030616,0360
030617,0360
030619,0360
030631,0360
030632,0360
030633,0360
030634,0360
030635,0360
030636,0360
030639,0360
030691,0360
030692,0360
030693,0360
030694,0360
030695,0360
030699,0360
030711,0360
030712,036
030719,036
030721,0360
030722,036
030729,036
030731,0360
030732,036
030739,036
030742,0360
030743,036
030749,036
030751,0360
030752,036
030759,036
030760,034
030771,0360
030772,036
030779,036
030781,0360
030782,0360
030783,036
030784,036
030787,036
030788,036
030791,0360
030792,036
030799,036
030811,0360
030812,036
030819,036
030821,0360
030822,036
030829,036
030830,036
030890,036
040110,0223
040120,0223
040140,0223
040150,0223
040210,02242
040221,02243
040229,02243
040291,02249
040299,02249
040310,098
040390,098
040410,022
040490,022
040510,0230
040520,0230
040590,0230
040610,0240
040620,0240
040630,0240
040640,0240
040690,0240
040711,0251
040719,0251
040721,0251
040729,0251
040790,0251
040811,0252
040819,0252
040891,0252
040899,0252
040900,0616
041000,09808
050100,29191
050210,29192
050290,29192
050400,29193
050510,29196
050590,29196
050610,29111
050690,29111
050710,29116
050790,29116
050800,29115
051000,29198
051110,29199
051191,29199
051199,29199
060110,292
060120,292
060210,29269
060220,29269
060230,29269
060240,29269
060290,29269
060311,29271
060312,29271
060313,29271
060314,29271
060315,29271
060319,29271
060390,29271
060420,29272
060490,29272
070110,0541
070190,0541
070200,0544
070310,05451
070320,05451
070390,05451
070410,05459
070420,05459
070490,05459
070511,05459
070519,05459
070521,05459
070529,05459
070610,05459
070690,05459
070700,05459
070810,05459
070820,05459
070890,05459
070920,044
070930,044
070940,044
070951,05459
070959,05459
070960,044
070970,044
070991,044
070992,044
070993,044
070999,044
071010,05461
071021,05461
071022,05461
071029,05461
071030,05461
071040,09809
071080,05461
071090,05461
071120,098
071140,098
071151,098
071159,098
071190,098
071220,0561
071231,0561
071232,0561
071233,0561
071239,0561
071290,0561
071310,0542
071320,0542
071331,0542
071332,0542
071333,0542
071334,0542
071335,0542
071339,0542
071340,0542
071350,0542
071360,0542
071390,0542
071410,05481
071420,05481
071430,05481
071440,05481
071450,05481
071490,05481
080111,05771
080112,05771
080119,05771
080121,05772
080122,05772
080131,05773
080132,05773
080211,05774
080212,05774
080221,05775
080222,05775
080231,05779
080232,05779
080241,05779
080242,05779
080251,05779
080252,05779
080261,05779
080262,05779
080270,05779
080280,05779
080290,05779
080310,0573
080390,0573
080410,05796
080420,0576
080430,05795
080440,05797
080450,05797
080510,05711
080521,05712
080522,05712
080529,05712
080540,05722
080550,05721
080590,05729
080610,05751
080620,05752
080711,05798
080719,05798
080720,05798
080810,0574
080830,05792
080840,05792
080910,05793
080921,05793
080929,05793
080930,05793
080940,05793
081010,05794
081020,05794
081030,0579
081040,05794
081050,0579
081060,0579
081070,0579
081090,0579
081110,05861
081120,05861
081190,05861
081210,05863
081290,05863
081310,057
081320,057
081330,057
081340,057
081350,057
081400,05864
090111,07111
090112,07111
090121,07112
090122,07112
090190,0711
090210,0741
090220,0741
090230,0741
090240,0741
