ID,Mapping
0013,"Swine; live, other than pure~Swine; live, (other than pure"
0015,"Asses, mules and hinnies; live~Mules and hinnies; live~Horses, asses, mules and hinnies; live, other than pure"
0019,"Aquatic invertebrates; other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled, frozen, dried, salted or in brine, smoked, cooked or not before or during smoking, includes edible flours, meals, and pellets~Molluscs and other aquatic invertebrates; live, fresh or chilled (whether in shell or not), n.e.c. in heading no. 0307"
0112,"Meat; of goats, fresh, chilled or frozen"
0113,"Meat; of swine, n.e.s. in item no. 0203.2, frozen~Meat; of swine, n.e.c. in item no. 0203.2, frozen"
0114,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen~Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen~Meat and edible offal; of ducks, geese or guinea fowls, poultry cuts and offal (excluding livers) frozen"
0115,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen"
0116,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen"
0121,"Meat, preserved; of swine, salted, in brine, dried or smoked, n.e.c. in item no. 0210.1~Meat, preserved; of swine, salted, in brine, dried or smoked, n.e.s. in item no. 0210.1~Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1"
0129,"Meat and edible meat offal, preserved; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.s. in heading no. 0210~Meat; salted, in brine, dried or smoked, of bovine animals~Aquatic invertebrates; other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled, frozen, dried, salted or in brine, smoked, cooked or not before or during smoking, includes edible flours, meals, and pellets~Meat, preserved; of bovine animals, salted, in brine, dried or smoked~Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.c. in heading no. 0307"
0142,"Meat preparations; sausages and similar products, of meat, meat offal or blood, and food preparations based on these products"
0149,"Homogenised composite food preparations~Meat preparations; of bovine animals, meat or meat offal, prepared or preserved (excluding livers and homogenised preparations)~Meat preparations; of meat, meat offal or the blood of any animal, n.e.s. in heading no. 1602"
0141,"Extracts and juices; of meat, fish or crustaceans, molluscs or other aquatic invertebrates"
0223,"Dairy produce; natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.c. in chapter 04~Dairy produce; natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.s. in chapter 04~Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%"
0440,"Cereals; maize (corn), other than seed"
0230,Dairy produce; butter and other fats and oils derived from milk~Dairy produce; fats and oils derived from milk (other than butter or dairy spreads)
0240,"Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406~Dairy produce; cheese (not grated, powdered or processed), n.e.s. in heading no. 0406"
0251,"Birds' eggs, in shell; preserved or cooked~Eggs; birds' eggs, in the shell, fresh, preserved or cooked"
0252,"Eggs; birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter"
0341,"Molluscs; snails (other than sea snails), live, fresh, chilled, frozen, dried, salted or in brine (whether in shell or not)~Fish; livers and roes, fresh or chilled~Molluscs; snails, other than sea snails, whether in shell or not, live, fresh, chilled, frozen, dried, salted, in brine, or smoked, cooked or not before or during the smoking process~Fish meat; excluding fillets, whether or not minced; fresh or chilled, of fish n.e.c. in item no. 0304.5"
0342,"Fish; fish meat n.e.s. in heading no. 0304 (whether or not minced), fresh, chilled or frozen~Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9~Fish; fish meat (whether or not minced) other than fillets, frozen, excluding swordfish (Xiphias gladius) and toothfish (Dissostichus spp.)"
0343,"Fish; fillets and other fish meat (whether or not minced), fresh or chilled, other than swordfish (Xiphias gladius) and toothfish (Dissostichus spp.)~Fish; fillets and other fish meat, fresh or chilled (whether or not minced)~Fish meat; excluding fillets, whether or not minced; fresh or chilled, of fish n.e.c. in item no. 0304.5"
0344,"Fish; fillets, frozen~Fish fillets; frozen, of fish n.e.c. in heading 0304.8~Fish; fillets, frozen, other than swordfish (Xiphias gladius) and toothfish (Dissostichus spp.)"
0350,"Fish; edible offal, other than shark fins, fish heads, tails and maws"
0360,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), live, fresh or chilled~Aquatic invertebrates; other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled, frozen, dried, salted or in brine, smoked, cooked or not before or during smoking, includes edible flours, meals, and pellets~Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.c. in heading no. 0307~Molluscs and other aquatic invertebrates; frozen, dried, salted or in brine (whether in shell or not), n.e.s. in heading no. 0307"
0371,"Homogenised composite food preparations~Fish preparations; caviar substitutes, prepared from fish eggs~Fish preparations; caviar and caviar substitutes"
0372,"Crustacean preparations; other than crab, shrimps, prawns, and lobsters, prepared or preserved~Molluscs and other aquatic invertebrates; prepared or preserved (excluding crustaceans)~Homogenised composite food preparations"
0412,"Cereals; wheat and meslin, other than durum wheat, other than seed~Cereals; meslin and wheat other than durum"
0411,"Cereals; wheat and meslin, durum wheat, other than seed~Cereals; durum wheat"
0430,"Cereals; barley~Cereals; barley, other than seed"
0451,"Cereals; rye, other than seed~Cereals; rye"
0452,"Cereals; oats~Cereals; oats, other than seed"
1211,"Tobacco, (not stemmed or stripped)"
0482,Malt; roasted
0483,"Food preparations; couscous~Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared"
0484,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products"
