HS2012,SITC2
010121,0015
010129,0015
010130,0015
010190,0015
010221,00111
010229,00119
010231,00111
010239,00119
010290,00119
010290,00111
010310,0013
010391,0013
010392,0013
010410,00121
010420,00122
010511,00141
010512,00141
010513,00141
010514,00141
010515,00141
010594,00149
010599,00149
010611,0019
010611,9410
010612,0019
010612,9410
010613,9410
010613,0019
010614,9410
010614,0019
010619,0019
010619,9410
010620,0019
010620,9410
010631,9410
010631,0019
010632,9410
010632,0019
010633,0019
010633,9410
010639,9410
010639,0019
010641,9410
010641,0019
010649,9410
010649,0019
010690,9410
010690,0019
020110,01111
020120,01111
020130,01112
020210,01111
020220,01111
020230,01112
020311,0113
020312,0113
020319,0113
020321,0113
020322,0113
020329,0113
020410,0112
020421,0112
020422,0112
020423,0112
020430,0112
020441,0112
020442,0112
020443,0112
020450,0112
020500,0115
020610,0116
020621,0116
020622,0116
020629,0116
020630,0116
020641,0116
020649,0116
020680,0116
020690,0116
020711,0114
020712,0114
020713,0114
020714,01181
020714,0114
020724,0114
020725,0114
020726,0114
020727,01181
020727,0114
020741,0114
020742,0114
020743,01181
020744,0114
020745,0114
020745,01181
020751,0114
020752,0114
020753,01181
020754,0114
020755,01181
020755,0114
020760,0114
020760,01181
020810,01189
020830,01189
020840,01189
020850,01189
020860,01189
020890,01189
020910,41131
020990,41131
021011,0121
021012,0121
021019,0121
021020,0129
021091,0129
021091,01181
021091,0149
021092,0149
021092,01181
021092,0129
021093,0149
021093,01181
021093,0129
021099,01181
021099,0129
021099,0149
030111,0341
030119,0341
030191,0341
030192,0341
030193,0341
030194,0341
030195,0341
030199,0341
030211,0341
030213,0341
030214,0341
030219,0341
030221,0341
030222,0341
030223,0341
030224,0341
030229,0341
030231,0341
030232,0341
030233,0341
030234,0341
030235,0341
030236,0341
030239,0341
030241,0341
030242,0341
030243,0341
030244,0341
030245,0341
030246,0341
030247,0341
030251,0341
030252,0341
030253,0341
030254,0341
030255,0341
030256,0341
030259,0341
030271,0341
030272,0341
030273,0341
030274,0341
030279,0341
030281,0341
030282,0341
030283,0341
030284,0341
030285,0341
030289,0341
030290,0341
030311,0342
030312,0342
030313,0342
030314,0342
030319,0342
030323,0342
030324,0342
030325,0342
030326,0342
030329,0342
030331,0341
030332,0341
030333,0341
030334,0341
030339,0341
030341,0342
030342,0342
030343,0342
030344,0342
030345,0342
030346,0342
030349,0342
030351,0342
030353,0342
030354,0342
030355,0342
030356,0342
030357,0342
030363,0342
030364,0342
030365,0342
030366,0342
030367,0342
030368,0342
030369,0342
030381,0342
030382,0342
030383,0342
030384,0342
030389,0342
030390,0342
030431,0341
030431,0343
030432,0341
030432,0343
030433,0343
030433,0341
030439,0343
030439,0341
030441,0343
030441,0341
030442,0343
030442,0341
030443,0343
030443,0341
030444,0343
030444,0341
030445,0341
030445,0343
030446,0343
030446,0341
030449,0341
030449,0343
030451,0341
030451,0343
030452,0343
030452,0341
030453,0343
030453,0341
030454,0343
030454,0341
030455,0341
030455,0343
030459,0341
030459,0343
030461,0344
030462,0344
030463,0344
030469,0344
030471,0344
030472,0344
030473,0344
030474,0344
030475,0344
030479,0344
030481,0344
030482,0344
030483,0344
030484,0344
030485,0344
030486,0344
030487,0344
030489,0344
030491,0342
030492,0342
030493,0342
030494,0342
030495,0342
030499,0342
030510,03501
030520,03503
030520,03504
030520,03502
030531,03503
030532,03503
030539,03503
030541,03504
030542,03504
030543,03504
030544,03504
030549,03504
030551,03502
030559,03503
030561,03503
030562,03503
030563,03503
030564,03503
030569,03503
030571,03503
030571,03504
030572,03503
030572,03504
030572,03502
030579,03502
030579,03504
030579,03503
030611,09801
030611,0372
030611,0360
030612,0372
030612,09801
030612,0360
030614,0360
030614,0372
030614,09801
030615,0360
030615,09801
030615,0372
030616,09801
030616,0360
030616,0372
030617,0372
030617,09801
030617,0360
030619,09801
030619,0360
030619,0372
030621,0372
030621,0360
030621,09801
030622,0372
030622,09801
030622,0360
030624,0360
030624,09801
030624,0372
030625,0372
030625,09801
030625,0360
030626,0360
030626,0372
030626,09801
030627,0360
030627,0372
030627,09801
030629,0372
030629,09801
030629,0360
030711,0360
030719,0372
030719,0360
030719,0149
030719,09801
030721,9410
030721,0019
030721,01189
030721,0360
030729,09801
030729,0372
030729,0129
030729,0360
030729,0149
030729,01189
030731,9410
030731,0019
030731,01189
030731,0360
030739,0129
030739,0360
030739,0372
030739,01189
030739,09801
030739,0149
030741,0360
030749,09801
030749,0372
030749,0360
030749,0149
030751,0360
030759,0149
030759,0372
030759,09801
030759,0360
030760,0372
030760,09801
030760,0341
030760,0149
030771,01189
030771,9410
030771,0019
030771,0360
030779,0129
030779,09801
030779,0372
030779,01189
030779,0149
030779,0360
030781,0360
030781,0019
030781,01189
030781,9410
030789,01189
030789,0372
030789,0129
030789,0149
030789,0360
030789,09801
030791,0360
030791,0019
030791,9410
030791,01189
030799,01189
030799,0129
030799,0372
030799,0149
030799,09801
030799,0360
030811,0019
030811,0360
030811,01189
030811,9410
030819,0360
030819,01189
030819,09801
030819,0149
030819,0129
030819,0372
030821,9410
030821,01189
030821,0019
030821,0360
030829,01189
030829,0360
030829,09801
030829,0129
030829,0149
030829,0372
030830,0019
030830,9410
030830,01189
030830,0372
030830,0360
030830,09801
030830,0129
030830,0149
030890,0149
030890,9410
030890,01189
030890,09801
030890,0372
030890,0360
030890,0019
030890,0129
040110,02249
040110,0223
040120,0223
040120,02249
040140,0223
040140,02249
040150,0223
040150,02249
040210,02242
040210,02249
040221,02249
040221,02243
040229,02249
040229,02243
040291,02249
040299,02249
040310,0730
040310,0223
040310,02249
040310,02242
040310,11102
040310,02243
040310,09809
040390,0730
040390,11102
040390,02242
040390,09809
040390,02243
040390,02249
040390,0223
040410,02241
040410,0223
040490,0223
040490,02249
040490,02243
040490,02241
040490,02242
040510,0230
040520,0230
040590,0230
040610,0240
040620,0240
040630,0240
040640,0240
040690,0240
040711,0251
040719,0251
040721,0251
040729,0251
040790,0251
040811,0252
040819,0252
040891,0252
040899,0252
040900,0616
041000,09808
050100,29191
050210,29192
050290,29192
050400,29193
050510,29196
050590,29196
050610,29111
050690,29111
050710,29116
050790,29116
050800,29115
051000,29198
051110,29199
051191,29194
051191,29199
051199,29199
051199,29197
