Level,ID,Extended_ID,Title,ShortTitle
4,A0111,A 01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",
4,A0112,A 01.12,Growing of rice,
4,A0113,A 01.13,"Growing of vegetables and melons, roots and tubers",
4,A0114,A 01.14,Growing of sugar cane,
4,A0115,A 01.15,Growing of tobacco,
4,A0116,A 01.16,Growing of fibre crops,
4,A0119,A 01.19,Growing of other non-perennial crops,
4,A0121,A 01.21,Growing of grapes,
4,A0122,A 01.22,Growing of tropical and subtropical fruits,
4,A0123,A 01.23,Growing of citrus fruits,
4,A0124,A 01.24,Growing of pome fruits and stone fruits,
4,A0125,A 01.25,Growing of other tree and bush fruits and nuts,
4,A0126,A 01.26,Growing of oleaginous fruits,
4,A0127,A 01.27,Growing of beverage crops,
4,A0128,A 01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",
4,A0129,A 01.29,Growing of other perennial crops,
4,A0130,A 01.30,Plant propagation,
4,A0141,A 01.41,Raising of dairy cattle,
4,A0142,A 01.42,Raising of other cattle and buffaloes,
4,A0143,A 01.43,Raising of horses and other equines,
4,A0144,A 01.44,Raising of camels and camelids,
4,A0145,A 01.45,Raising of sheep and goats,
4,A0146,A 01.46,Raising of swine/pigs,
4,A0147,A 01.47,Raising of poultry,
4,A0149,A 01.49,Raising of other animals,
4,A0150,A 01.50,Mixed farming,
4,A0161,A 01.61,Support activities for crop production,
4,A0162,A 01.62,Support activities for animal production,
4,A0163,A 01.63,Post-harvest crop activities,
4,A0164,A 01.64,Seed processing for propagation,
4,A0170,A 01.70,"Hunting, trapping and related service activities",
4,A0210,A 02.10,Silviculture and other forestry activities,
4,A0220,A 02.20,Logging,
4,A0230,A 02.30,Gathering of wild growing non-wood products,
4,A0240,A 02.40,Support services to forestry,
4,A0311,A 03.11,Marine fishing,
4,A0312,A 03.12,Freshwater fishing,
4,A0321,A 03.21,Marine aquaculture,
4,A0322,A 03.22,Freshwater aquaculture,
4,B0510,B 05.10,Mining of hard coal,
4,B0520,B 05.20,Mining of lignite,
4,B0610,B 06.10,Extraction of crude petroleum,
4,B0620,B 06.20,Extraction of natural gas,
4,B0710,B 07.10,Mining of iron ores,
4,B0721,B 07.21,Mining of uranium and thorium ores,
4,B0729,B 07.29,Mining of other non-ferrous metal ores,
4,B0811,B 08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",
4,B0812,B 08.12,"Operation of gravel and sand pits, mining of clays and kaolin",
4,B0891,B 08.91,Mining of chemical and fertiliser minerals,
4,B0892,B 08.92,Extraction of peat,
4,B0893,B 08.93,Extraction of salt,
4,B0899,B 08.99,Other mining and quarrying n.e.c.,
4,B0910,B 09.10,Support activities for petroleum and natural gas extraction,
4,B0990,B 09.90,Support activities for other mining and quarrying,
4,C1011,C 10.11,Processing and preserving of meat,
4,C1012,C 10.12,Processing and preserving of poultry meat,
4,C1013,C 10.13,Production of meat and poultry meat products,
4,C1020,C 10.20,"Processing and preserving of fish, crustaceans and molluscs",
4,C1031,C 10.31,Processing and preserving of potatoes,
4,C1032,C 10.32,Manufacture of fruit and vegetable juice,
4,C1039,C 10.39,Other processing and preserving of fruit and vegetables,
4,C1041,C 10.41,Manufacture of oils and fats,
4,C1042,C 10.42,Manufacture of margarine and similar edible fats,
4,C1051,C 10.51,Operation of dairies and cheese making,
4,C1052,C 10.52,Manufacture of ice cream,
4,C1061,C 10.61,Manufacture of grain mill products,
4,C1062,C 10.62,Manufacture of starches and starch products,
4,C1071,C 10.71,"Manufacture of bread, manufacture of fresh pastry goods and cakes",
4,C1072,C 10.72,"Manufacture of rusks and biscuits, manufacture of preserved pastry goods and cakes",
4,C1073,C 10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",
4,C1081,C 10.81,Manufacture of sugar,
4,C1082,C 10.82,"Manufacture of cocoa, chocolate and sugar confectionery",
4,C1083,C 10.83,Processing of tea and coffee,
4,C1084,C 10.84,Manufacture of condiments and seasonings,
4,C1085,C 10.85,Manufacture of prepared meals and dishes,
4,C1086,C 10.86,Manufacture of homogenised food preparations and dietetic food,
4,C1089,C 10.89,Manufacture of other food products n.e.c.,
4,C1091,C 10.91,Manufacture of prepared feeds for farm animals,
4,C1092,C 10.92,Manufacture of prepared pet foods,
4,C1101,C 11.01,"Distilling, rectifying and blending of spirits",
4,C1102,C 11.02,Manufacture of wine from grape,
4,C1103,C 11.03,Manufacture of cider and other fruit wines,
4,C1104,C 11.04,Manufacture of other non-distilled fermented beverages,
4,C1105,C 11.05,Manufacture of beer,
4,C1106,C 11.06,Manufacture of malt,
4,C1107,C 11.07,"Manufacture of soft drinks, production of mineral waters and other bottled waters",
4,C1200,C 12.00,Manufacture of tobacco products,
4,C1310,C 13.10,Preparation and spinning of textile fibres,
4,C1320,C 13.20,Weaving of textiles,
4,C1330,C 13.30,Finishing of textiles,
4,C1391,C 13.91,Manufacture of knitted and crocheted fabrics,
4,C1392,C 13.92,"Manufacture of made-up textile articles, except apparel",
4,C1393,C 13.93,Manufacture of carpets and rugs,
4,C1394,C 13.94,"Manufacture of cordage, rope, twine and netting,",
4,C1395,C 13.95,"Manufacture of non-wovens and articles made from non-wovens, except apparel,",
4,C1396,C 13.96,"Manufacture of other technical and industrial textiles,",
4,C1399,C 13.99,"Manufacture of other textiles n.e.c.,",
4,C1411,C 14.11,"Manufacture of leather clothes,",
4,C1412,C 14.12,"Manufacture of workwear,",
4,C1413,C 14.13,Manufacture of other outerwear,
4,C1414,C 14.14,Manufacture of underwear,
4,C1419,C 14.19,Manufacture of other wearing apparel and accessories,
