ID,Title,Parent
0011,"Animals of the bovine species (including buffaloes), live",001
0013,"Swine, live",001
0014,"Poultry, live (i.e., fowls, ducks, geese, turkeys and guinea fowls)",001
0012,"Sheep and goats, live",001
0015,"Horses, asses, mules and hinnies, live",001
0019,"Live animals of a kind mainly used for human food, n.e.s.",001
0111,"Meat of bovine animals, fresh, chilled or frozen, fresh, chilled or frozen",011
0112,"Meat of sheep and goats, fresh, chilled or frozen",011
0113,"Meat of swine, fresh, chilled or frozen",011
0114,"Poultry, dead (i.e., fowls, ducks, geese, turkeys and guinea fowls) and edible offal thereof (except liver), fresh, chilled or frozen",011
0115,"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen",011
0116,"Edible offal of the animals falling in headings 001.1, 001.2, 001.3 and 001.5, fresh, chilled or frozen",011
0118,"Other fresh, chilled or frozen meat or edible meat offal",011
0121,"Bacon, ham, other dried, salted or smoked meat of domestic swine",012
0129,"Meat and edible meat offals, n.e.s., salted, in brine, dried or smoked",012
0142,"Sausages and the like, of meat, meat offal or animal blood",014
0149,Other prepared or preserved meat or meat offals,014
0141,Meat extracts and meat juices; fish extracts,014
0223,"Milk and cream fresh (including skimmed milk, buttermilk, sour milk, sour cream, whey, kephir and yoghourt), not concentrated or sweetened",022
0224,"Milk and cream, preserved, concentrated or sweetened",022
0440,"Maize (corn), unmilled",044
0230,Butter,023
0240,Cheese and curd,024
0251,"Eggs, birds', and egg yolks, fresh, dried or otherwise preserved, sweetened or not .in shell",025
0252,"Eggs, birds', and egg yolks, fresh, dried or otherwise preserved, sweetened or not .not in shell",025
0341,"Fish, fresh (live or dead) or chilled (excluding fillets)",034
0342,"Fish, frozen (exeluding fillets)",034
0343,"Fish fillets, fresh or chilled",034
0344,"Fish fillets, frozen",034
2519,Other cellulosic pulps,251
0350,"Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)",035
0360,"Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water",036
0371,"Fish, prepared or preserved, n.e.s. including caviar and caviar substitutes)",037
0372,"Crustaceans and molluscs, prepared or preserved, n.e.s.",037
0412,"Other wheat (including spelt) and meslin, unmilled",041
0411,"Durum wheat, unmilled",041
0422,"Rice, semi",042
0421,"Rice in the husk or husked, but not further prepared",042
0430,"Barley, unmilled",043
0451,"Rye, unmilled",045
0452,"Oats, unmilled",045
0459,"Buckwheat, millet, canary seed, grain sorghum and other cereals, unmilled, n.e.s.",045
0460,Meal and flour of wheat and flour of meslin,046
0470,Other cereal meals and flours,047
0481,"Cereal grains, worked or prepared in a manner not elsewhere specified (""prepared breakfast foods"")",048
1211,"Tobacco, not stripped",121
0482,"Malt, roasted or not (including malt flour)",048
0483,"Macaroni, spaghetti and similar products",048
0484,"Bakery products (e.g., bread, biscuits, cakes) and other baked goods made from flour or starch pastes (e.g., communion wafers)",048
0488,"Malt extract; preparations of flour, meal, starch or malt extract, of a kind used as infant food or for dietetic or culinary purposes, containing less than 50% by weight of cocoa",048
0541,"Potatoes, fresh or chilled (not including sweet potatoes)",054
0542,"Beans, peas, lentils and other leguminous vegetables, dried, shelled, whether or not skinned or split",054
0544,"Tomatoes, fresh or chilled",054
0545,Other fresh or chilled vegetables,054
0548,"Vegetable products, roots and tubers, chiefly for human food, n.e.s., fresh or dried",054
0546,"Vegetables, frozen or in temporary preservative",054
0564,"Flour, meals and flakes of potatoes, fruit and vegetables, n.e.s. (including sago and tapioca)",056
0561,"Vegetables, dried, dehydrated or evaporated (excluding leguminous vegetables), whole, cut, sliced, broken or in powder, but not further prepared",056
0565,"Vegetables, prepared or preserved, n.e.s.",056
0576,"Figs, fresh or dried",057
0577,"Edible nuts (excluding nuts chiefly used for the extracting of oil), fresh or dried",057
0579,"Fruit, fresh or dried, n.e.s.",057
0571,"Oranges, mandarins, clementines and other similar citrus hybrids, fresh or dried",057
0572,"Other citrus fruit, fresh or dried",057
0573,"Banana (including plantains), fresh or dried",057
0574,"Apples, fresh",057
0575,"Grapes, fresh or dried",057
0582,"Fruit, fruit",058
0583,"Jams, jellies, marmalades, fruit purée and fruit pastes, being cooked preparations, whether or not containing added sugar",058
0585,"Fruit juices (including grape must) and vegetable juices, whether or not containing added sugar, but unfermented and not containing spirit",058
