ID,Title,Parent
0,Food and live animals chiefly for food,TOTAL
1,Beverages and tobacco,TOTAL
2,"Crude materials, inedible, except fuels",TOTAL
3,"Mineral fuels, lubricants and related materials",TOTAL
4,"Animal and vegetable oils, fats and waxes",TOTAL
5,"Chemicals and related products, n.e.s.",TOTAL
6,Manufactured goods classified chiefly by material,TOTAL
7,Machinery and transport equipment,TOTAL
8,Miscellaneous manufactured articles,TOTAL
9,Commodities and transactions not classified elsewhere in the SITC,TOTAL
09,Miscellaneous edible products and preparations,0
02,Dairy products and birds' eggs,0
04,Cereals and cereal preparations,0
00,Live animals chiefly for food,0
01,Meat and meat preparations,0
03,"Fish, crustacean and molluscs, and preparations thereof",0
05,Vegetables and fruit,0
06,"Sugar, sugar preparations and honey",0
07,"Coffee, tea, cocoa, spices, and manufactures thereof",0
08,Feeding stuff for animals (not including unmilled cereals),0
001,Live animals chiefly for food,00
0011,"Animals of the bovine species (including buffaloes), live",001
0013,"Swine, live",001
0014,"Poultry, live (i.e., fowls, ducks, geese, turkeys and guinea fowls)",001
0012,"Sheep and goats, live",001
0015,"Horses, asses, mules and hinnies, live",001
0019,"Live animals of a kind mainly used for human food, n.e.s.",001
00111,....pure bred for breeding,001.1
00119,....other than pure bred for breeding,001.1
00121,"Sheep, live",001.2
00122,"Goats, live",001.2
00141,....of a weight not exceeding 185 grams,001.4
00149,....of a weight exceeding 185 grams,001.4
011,"Meat and edible meat offal, fresh, chilled or frozen (except meat and meat offals unfit or unsuitable for human consumption)",01
014,"Meat and edible meat offal, prepared, preserved, n.e.s.; fish extracts",01
012,"Meat and edible meat offals (except poultry liver), salted, in brine, dried, or smoked",01
0111,"Meat of bovine animals, fresh, chilled or frozen, fresh, chilled or frozen",011
0112,"Meat of sheep and goats, fresh, chilled or frozen",011
0113,"Meat of swine, fresh, chilled or frozen",011
0114,"Poultry, dead (i.e., fowls, ducks, geese, turkeys and guinea fowls) and edible offal thereof (except liver), fresh, chilled or frozen",011
0115,"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen",011
0116,"Edible offal of the animals falling in headings 001.1, 001.2, 001.3 and 001.5, fresh, chilled or frozen",011
0118,"Other fresh, chilled or frozen meat or edible meat offal",011
01111,....with bone in,011.1
01112,....boneless,011.1
01181,"Poultry liver, fresh, chilled, frozen, salted or in brine",011.8
01189,"Meat and edible meat offals, n.e.s., fresh, chilled, or frozen",011.8
0121,"Bacon, ham, other dried, salted or smoked meat of domestic swine",012
0129,"Meat and edible meat offals, n.e.s., salted, in brine, dried or smoked",012
0142,"Sausages and the like, of meat, meat offal or animal blood",014
0149,Other prepared or preserved meat or meat offals,014
0141,Meat extracts and meat juices; fish extracts,014
023,Butter,02
024,Cheese and curd,02
025,"Eggs, birds', and egg yolks, fresh, dried or otherwise preserved, sweetened or not",02
022,Milk and cream,02
0223,"Milk and cream fresh (including skimmed milk, buttermilk, sour milk, sour cream, whey, kephir and yoghourt), not concentrated or sweetened",022
0224,"Milk and cream, preserved, concentrated or sweetened",022
02241,Whey,022.4
02242,"Milk (other than whey) in powder or granules, containing not more than 1.5% by weight of fat",022.4
02243,"Milk (other than whey) and cream, in powder or granules containing more than 1.5% by weight of fat",022.4
044,"Maize (corn), unmilled",04
0440,"Maize (corn), unmilled",044
02249,"Milk (other than whey) and cream, preserved, cencentrated or sweeted, in forms other than powder or granules",022.4
0230,Butter,023
0240,Cheese and curd,024
0251,....in shell,025
0252,....not in shell,025
036,"Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water",03
037,"Fish, crustaceans and molluscs, prepared or preserved, n.e.s.",03
034,"Fish, fresh (live or dead), chilled or frozen",03
035,"Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)",03
0341,"Fish, fresh (live or dead) or chilled (excluding fillets)",034
0342,"Fish, frozen (exeluding fillets)",034
0343,"Fish fillets, fresh or chilled",034
0344,"Fish fillets, frozen",034
2519,Other cellulosic pulps,251
0350,"Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)",035
03501,Fish meal fit for human consumption,035.0
03502,"Cod (not in fillets) dried, whether or not salted",035.0
03503,"Fish, dried, salted or in brine (other than cod of heading 035.02)",035.0
03504,Fish smoked (whether or not cooked before or during the smoking process),035.0
0360,"Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water",036
0371,"Fish, prepared or preserved, n.e.s. including caviar and caviar substitutes)",037
0372,"Crustaceans and molluscs, prepared or preserved, n.e.s.",037
043,"Barley, unmilled",04
045,"Cereals, unmilled (other than wheat, rice, barley and maize)",04
046,Meal and flour of wheat and flour of meslin,04
047,Other cereal meals and flours,04
048,Cereal preparations and preparations of flour or starch of fruits or vegetables,04
041,"Wheat (including spelt) and meslin, unmilled",04
042,Rice,04
0412,"Other wheat (including spelt) and meslin, unmilled",041
0411,"Durum wheat, unmilled",041
0422,"Rice, semi",042
0421,"Rice in the husk or husked, but not further prepared",042
04211,Rice in the husk (paddy or rough rice),042.1
04212,"Rice husked, but not further prepared (cargo rice or brown rice)",042.1
04221,"Rice, semi",042.2
04222,Broken rice,042.2
0430,"Barley, unmilled",043
0451,"Rye, unmilled",045
0452,"Oats, unmilled",045
0459,"Buckwheat, millet, canary seed, grain sorghum and other cereals, unmilled, n.e.s.",045
04591,"Millet, unmilled",045.9
04592,"Sorghum, unmilled",045.9
04599,"Other cereals, unmilled, n.e.s.",045.9
0460,Meal and flour of wheat and flour of meslin,046
04601,Flour of wheat or of meslin,046.0
04602,"Groats, meal and pellets, of wheat",046.0
0470,Other cereal meals and flours,047
04701,Cereal flours (other than of wheat or of meslin),047.0
04702,"Cereal groats, meal and pellets (other than of wheat)",047.0
0481,"Cereal grains, worked or prepared in a manner not elsewhere specified (""prepared breakfast foods"")",048
1211,"Tobacco, not stripped",121
0482,"Malt, roasted or not (including malt flour)",048
0483,"Macaroni, spaghetti and similar products",048
0484,"Bakery products (e.g., bread, biscuits, cakes) and other baked goods made from flour or starch pastes (e.g., communion wafers)",048
0488,"Malt extract; preparations of flour, meal, starch or malt extract, of a kind used as infant food or for dietetic or culinary purposes, containing less than 50% by weight of cocoa",048
04811,"Other worked cereal grains (i.e., rolled, flaked, polished, pearled or kibbled, but not futher prepared); germ of cereals, whole, rolled, flaked or ground",048.1
04812,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (puffed rice, corn flakes and similar products)",048.1
04841,"Bread, ships' biscuits and other ordinary bakers' wares, not containing added sugar, honey, eggs, fats, cheese or fruit; communion waffers, empty cachets of a kind suitable for pharmaceutical use, sealing waffers, rice paper and similar products",048.4
04842,"Pastry, biscuits, cakes and other fine bakers' wares, whether or not containing cocoa an any proportion",048.4
057,"Fruit and nuts (not including oil nuts), fresh or dried",05
054,"Vegetables, fresh, chilled, frozen or slmply preserved (including dried leguminous vegetables); roots, tubers and other edible vegetable products, n.e.s., fresh or dried",05
056,"Vegetables, roots and tubers, prepared or preserved, n.e.s.",05
058,"Fruit, preserved, and fruits preparations",05
0541,"Potatoes, fresh or chilled (not including sweet potatoes)",054
0542,"Beans, peas, lentils and other leguminous vegetables, dried, shelled, whether or not skinned or split",054
0544,"Tomatoes, fresh or chilled",054
0545,Other fresh or chilled vegetables,054
0548,"Vegetable products, roots and tubers, chiefly for human food, n.e.s., fresh or dried",054
0546,"Vegetables, frozen or in temporary preservative",054
05451,"Onion, shallots, garlic, leeks and other alliaceous vegetables (e.g., chives and Welsh onions), fresh or chilled",054.5
05459,"Vegetables, fresh or chilled, n.e.s.",054.5
05461,"Vegetables (whether or not cooked), preserved by freezing",054.6
05462,"Vegetables provisionally preserved in brine, in sulphur water or in other preservative solutions, but not specially prepared for immediate consumption",054.6
05481,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and other similar roots and tubers with high starch or inulin content, fresh or dried, whole or sliced; sago pith",054.8
05482,"Sugar beet, whole or sliced, fresh, dried or powdered; sugar cane",054.8
05484,Hop cones and lupulin,054.8
05488,"Vegetable products of a kind used primarily for human food, n.e.s.",054.8
0564,"Flour, meals and flakes of potatoes, fruit and vegetables, n.e.s. (including sago and tapioca)",056
0561,"Vegetables, dried, dehydrated or evaporated (excluding leguminous vegetables), whole, cut, sliced, broken or in powder, but not further prepared",056
0565,"Vegetables, prepared or preserved, n.e.s.",056
05643,"Flour, meal and flakes of potato",056.4
05645,Tapioca and sago; tapioca and sago substitutes obtained from potato or other starches,056.4
05649,Flours of the leguminous vegetables falling within heading 054.2 or of the fruits falling within any heading of group 057; flour and meal of sago and of roots and tubers falling within heading 054.81,056.4
05651,"Vegetables and fruit, prepared or preserved by vinegar or acetic acid, with or without sugar, whether or not containing salt, spices or mustard",056.5
05659,"Vegetables prepared or preserved other than by vinegar or acetic acid, n.e.s.",056.5
0576,"Figs, fresh or dried",057
0577,"Edible nuts (excluding nuts chiefly used for the extracting of oil), fresh or dried",057
0579,"Fruit, fresh or dried, n.e.s.",057
0571,"Oranges, mandarins, clementines and other similar citrus hybrids, fresh or dried",057
0572,"Other citrus fruit, fresh or dried",057
0573,"Banana (including plantains), fresh or dried",057
0574,"Apples, fresh",057
0575,"Grapes, fresh or dried",057
05711,"Oranges, fresh or dried",057.1
05712,"MandarLns (including tangerines and satsumas); clementines, wilkings and other similar citrus hybrids, fresh or dried",057.1
05721,"Lemons and limes, fresh or dried",057.2
05722,"Grapefruit, fresh or dried",057.2
05729,"Citrus fruit, n.e.s., fresh or dried",057.2
05751,....fresh,057.5
05752,....dried (raisins),057.5
05771,"Coconnts, fresh or dried (excluding copra), shelled or not",057.7
05772,"Brazil nuts, fresh or dried, shelled or not",057.7
05773,"Cashew nuts, fresh or dried, shelled or not",057.7
05774,"Almonds, fresh or dried, shelled or not",057.7
05775,"Hazelnuts, fresh or dried, shelled or not",057.7
05779,"Edible nuts, fresh or dry, n.e.s., shelled or not",057.7
05792,"Pears and quinces, fresh",057.9
05799,Other dried fruit,057.9
05796,"Dates, fresh or dried",057.9
05797,"Avocados, mangoes, guavas, mangosteens, fresh or dried",057.9
05798,Other fresh fruit,057.9
05793,"Stone fruit, n.e.s., fresh",057.9
05794,"Berries, fresh",057.9
05795,"Pineapples, fresh or dried",057.9
0582,"Fruit, fruit",058
0583,"Jams, jellies, marmalades, fruit purée and fruit pastes, being cooked preparations, whether or not containing added sugar",058
0585,"Fruit juices (including grape must) and vegetable juices, whether or not containing added sugar, but unfermented and not containing spirit",058
0589,"Fruit othewise prepared or preserved, n.e.s., whether or not containing added sugar or spirit",058
0586,"Fruit, temporarily preserved",058
05851,Orange juice,058.5
05852,Grapefruit juice,058.5
05853,Juice of any other citrus fruit,058.5
05854,Pineapple juice,058.5
05855,Tomato juice,058.5
05857,Juice of any other fruit or vegetable,058.5
05858,Mixtures of fruit or vegetable juices,058.5
05861,"Fruit (whether or not cooked), preserved by freezing, not containing added sugar",058.6
05862,"Fruit, preserved by freezing, containing added sugar",058.6
05863,"Fruit provisionally preserved (e.g., by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",058.6
05864,"Peel of melons or citrus fruit, fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions",058.6
05891,"Nuts, roasted (including roasted groundnuts)",058.9
05899,"Fruit and nuts, prepared, preserved, n.e.s.",058.9
061,Sugar and honey,06
062,Sugar confectionery (except chocolate confectionery) and other sugar preparations,06
0611,"Sugars, beet and cane, raw, solid",061
0612,"Refined sugar and other products of refining beet and cane sugar, solid",061
0615,"Molasses, whether or not decolourized",061
0616,Natural honey,061
0619,Other sugars; sugar syrups; artificial honey (whether or not mixed with natural honey); caramel,061
0620,Sugar confectionery (except chocolate confectionery) and other sugar preparations,062
06201,"Sugar confectionery, not containing cocoa",062.0
06202,"Flavored or coloured sugars, syrups and molases, but not including fruit juices containing added sugar in any proportion",062.0
073,"Chocolate and other food preparations containing cocoa, n.e.s.",07
071,Coffee and coffee substitutes,07
072,Cocoa,07
075,Spices,07
074,Tea and maté,07
0712,"Extracts, essences or concentrates of coffee and preparations with a basis of those extracts, essences or concentretes; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof",071
0711,"Coffee, whether or not roasted or freed of caffeine; coffee husks and skins ; coffee substitutes",071
07111,"Coffee, not roasted; coffee husks and skins",071.1
07112,"Coffee, roasted",071.1
07113,Coffee substitutes containing coffee in any proportion,071.1
0721,"Cocoa beans, whole or broken, raw or roasted",072
0722,"Cocoa powder, unsweetened",072
0723,Cocoa butter and cocoa paste,072
07231,"Cocoa paste (in bulk or in block), whether or not defatted",072.3
07232,Cocoa butter (fat or oil),072.3
0730,"Chocolate and other food preparations containing cocoa, n.e.s.",073
0741,Tea,074
0742,Maté,074
0751,"Pepper of the genus ""Piper""; pimento of the genus ""Capsicum"" or of the genus ""Pimenta""",075
0752,Spices (except pepper and pimento),075
07521,Vanilla,075.2
07522,Cinnamon and cinnamon,075.2
07523,"Cloves (whole fruit, cloves and stems)",075.2
07524,"Nutmeg, mace, cardamoms",075.2
07525,"Seeds of anise, badian, fennel, coriander, cumin, caraway and juniper",075.2
07526,Ginger (excluding ginger preserved in sugar or conserved in syrup),075.2
07528,"Thyme, saffron, bay leaves; other spices",075.2
081,Feeding stuff for animals (not including unmilled cereals),08
0811,"Hay and fodder, green or dry",081
0813,Oil,081
0814,"Flours and meals, of meat, offals, fish, crustaceans or molluscs, unfit for human consumption; greaves",081
0812,"Bran, sharps and other residues derived from the sifting, milling or working of cereals or of leguminous vegetables",081
0819,"Food waste and prepared animal feed, n.e.s.",081
08111,"Cereal straw and husks, unprepared, or chopped but not otherwise prepared",081.1
08112,"Mangolds, swedes, fodder roots; hay, lucerne, clover, sainfoin, forage kale, lupines, vetches and similar forage products",081.1
08119,"Products of vegetable origin of a kind used for animal food, n.e.s.",081.1
08121,....of maize or rice,081.2
08122,....or other cereals,081.2
08123,....of leguminous vegetables,081.2
08131,....of soya beans,081.3
08132,....of groundnuts,081.3
08133,....of cotton seeds,081.3
08134,....of linseed,081.3
08135,....of sunflower seeds,081.3
08136,....of rape or colza seed,081.3
08137,....of coconut  (copra),081.3
08138,"....of palm nuts, kernels",081.3
08139,....of other oilseeds and oleaginous fruits,081.3
08141,"Flours and meals of meat or offals (including tankage), unfit for human consumption; greaves",081.4
08142,"Flours and meals, of fish, crustaceans or molluscs, unfit for human consumption",081.4
08192,"Cocoa shells, husks, skin and waste",081.9
08193,Beet,081.9
08194,Wine lees; argol,081.9
08199,"Sweetened forage; other preparation of a kind used in animal feeding, n.e.s.",081.9
091,Margarine and shortening,09
098,"Edible products and preparations, n.e.s.",09
0913,"Lard, other pig and poultry fat, rendered or solvent",091
0914,"Margarine, imitation lard and other prepared edible fats, n.e.s.",091
09141,Margarine,091.4
09149,"Imitation lard and other prepared edible fats, n.e.s.",091.4
0980,"Edible products and preparations, n.e.s.",098
09807,Vinegar and substitutes for vinegar,098.0
09808,"Edible products of animal origin, n.e.s.",098.0
09803,Mustard flour and prepared mustard,098.0
09804,Sauces; mixed condiments and mixed seasonings,098.0
09805,"Soups and broths, in liquid, solid or powder form",098.0
09806,Natural yeasts (active and inactive); prepared baking powders,098.0
09801,Homogenized composite food preparations,098.0
09802,"Extracts, essences or concentrates of tea or maté and preparations with a basis of those extracts, essences or concentrates",098.0
09809,"Food preparations, n.e.s.",098.0
11,Beverages,1
12,Tobacco and tobacco manufactures,1
112,Alcoholic beverages,11
111,Non,11
1110,Non,111
11101,Waters (including spa waters and aerated waters); ice and snow,111.0
11102,"Lemonade, flavoured spa waters and flavoured aerated waters, and other non",111.0
1121,Wine of fresh grapes (including must),112
1122,"Other fermented beverages, n.e.s. (e.g., cider, perry and mead)",112
1123,"Beer made from malt (including ale, stout and porter)",112
